# 10 epochs
# batch size 512

# Train only

############################################################################

# d_model 11 ; 1 layer, 1 head, generative
# compute top k and argmax acc per training step

Profiler Report

Action                                  |  Mean duration (s)    |Num calls              |  Total time (s)       |  Percentage %         |
# d_model 11 ; 1 layer, 1 head, contrastive
# does not compute metrics during training


Profiler Report

Action                                  |  Mean duration (s)    |Num calls              |  Total time (s)       |  Percentage %         |
------------------------------------------------------------------------------------------------------------------------------------
Total                                   |  -                    |_                      |  42.04                |  100 %                |
------------------------------------------------------------------------------------------------------------------------------------
run_training_epoch                      |  3.8156               |10                     |  38.156               |  90.761               |
run_training_batch                      |  0.32694              |110                    |  35.963               |  85.546               |
optimizer_step_and_closure_0            |  0.32608              |110                    |  35.869               |  85.321               |
training_step_and_backward              |  0.32316              |110                    |  35.547               |  84.557               |
model_backward                          |  0.25967              |110                    |  28.564               |  67.945               |
model_forward                           |  0.061899             |110                    |  6.8089               |  16.196               |
training_step                           |  0.061666             |110                    |  6.7833               |  16.135               |
get_train_batch                         |  0.013615             |110                    |  1.4976               |  3.5624               |
evaluation_step_and_end                 |  0.37725              |2                      |  0.7545               |  1.7947               |
validation_step                         |  0.37704              |2                      |  0.75408              |  1.7937               |
on_train_batch_end                      |  0.00072346           |110                    |  0.079581             |  0.1893               |
on_train_end                            |  0.022536             |1                      |  0.022536             |  0.053606             |
cache_result                            |  1.6188e-05           |605                    |  0.0097935            |  0.023296             |
on_batch_start                          |  6.4596e-05           |110                    |  0.0071055            |  0.016902             |
on_after_backward                       |  2.2358e-05           |110                    |  0.0024594            |  0.0058502            |
on_batch_end                            |  1.8281e-05           |110                    |  0.0020109            |  0.0047833            |
on_epoch_start                          |  0.00018039           |10                     |  0.0018039            |  0.004291             |
on_before_zero_grad                     |  1.6012e-05           |110                    |  0.0017614            |  0.0041898            |
on_train_batch_start                    |  1.5496e-05           |110                    |  0.0017045            |  0.0040546            |
on_train_start                          |  0.0014244            |1                      |  0.0014244            |  0.0033881            |
training_step_end                       |  1.1652e-05           |110                    |  0.0012817            |  0.0030488            |
on_validation_end                       |  0.00030954           |1                      |  0.00030954           |  0.00073629           |
on_validation_batch_end                 |  0.00010314           |2                      |  0.00020628           |  0.00049068           |
on_train_epoch_end                      |  1.641e-05            |10                     |  0.0001641            |  0.00039035           |
on_epoch_end                            |  1.2825e-05           |11                     |  0.00014108           |  0.00033558           |
on_train_epoch_start                    |  1.3899e-05           |10                     |  0.00013899           |  0.00033062           |
on_validation_batch_start               |  1.9782e-05           |2                      |  3.9565e-05           |  9.4113e-05           |
on_fit_start                            |  3.5306e-05           |1                      |  3.5306e-05           |  8.3982e-05           |
on_validation_start                     |  2.2974e-05           |1                      |  2.2974e-05           |  5.4648e-05           |
validation_step_end                     |  1.088e-05            |2                      |  2.176e-05            |  5.1761e-05           |
on_validation_epoch_end                 |  1.3426e-05           |1                      |  1.3426e-05           |  3.1936e-05           |
on_validation_epoch_start               |  1.2383e-05           |1                      |  1.2383e-05           |  2.9455e-05           |
on_before_accelerator_backend_setup     |  8.907e-06            |1                      |  8.907e-06            |  2.1187e-05           |
